Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time
33504,7408,Environmental,Major,2020-07-04 14:00:51,Indeterminate,0,GENERATOR WORKING,PLMN-PLMN/BSC-402057/BCF-204,BCF,false,,,false,,,TS1398GD_(2)_FG_ASC_S0,,TS1398,null,,,FF FF FF FF FF FF,EXTERNAL AL 8,,,,,true,false,,false,1,94062899,2020-07-04 14:01:03,2020-07-04 14:00:51,,2020-07-04 14:00:51 +05:00,2020-07-04 14:00:51 +05:00,,
33505,7405,Environmental,Major,2020-07-04 14:01:01,Indeterminate,0,MODULE FAIL,PLMN-PLMN/BSC-402057/BCF-204,BCF,false,,,false,,,TS1398GD_(2)_FG_ASC_S0,,TS1398,null,,,FF FF FF FF FF FF,EXTERNAL AL 5,,,,,false,false,,false,1,94062916,2020-07-04 14:01:13,2020-07-04 14:01:01,,2020-07-04 14:01:01 +05:00,2020-07-04 14:01:01 +05:00,,
28002,7608,Equipment,Minor,2020-07-04 14:22:50,Indeterminate,0,TRX NOTIFICATION,PLMN-PLMN/BSC-402056/BCF-211/BTS-447/TRX-18,TRX,false,,,false,,,,,,null,,,00 00 00 B5 09 02,EXxx TRX module cooling fan speed has increased from the set speed,00 00 00 B5 09 02,,,,false,false,,false,1,94066043,2020-07-04 14:23:02,2020-07-04 14:22:50,,2020-07-04 14:22:50 +05:00,2020-07-04 14:22:50 +05:00,,
28003,7608,Equipment,Minor,2020-07-04 14:22:50,Indeterminate,0,TRX NOTIFICATION,PLMN-PLMN/BSC-402056/BCF-211/BTS-447/TRX-17,TRX,false,,,false,,,,,,null,,,00 00 00 B5 09 01,EXxx TRX module cooling fan speed has increased from the set speed,00 00 00 B5 09 01,,,,false,false,,false,1,94066044,2020-07-04 14:23:02,2020-07-04 14:22:50,,2020-07-04 14:22:50 +05:00,2020-07-04 14:22:50 +05:00,,
e11d95146dafd402749c7e2502549354979d4562,7103,Environmental,Major,2020-07-04 15:06:09,Indeterminate,0,10. Door open,PLMN-PLMN/MRBTS-12150/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-4,MRBTS,false,,,false,,,TS2150S_(1)_S1,,TS2150,null,,,1409 path=/SMOD_R-1(Left)/EAC_R-4 additionalFaultID=1409 EAC_IN-10,affected_cells=none,10. Door open,,,,false,false,,false,1,94071804,2020-07-04 15:06:15,2020-07-04 15:06:09,,2020-07-04 15:06:09 +05:00,2020-07-04 15:06:09 +05:00,,
42920,7744,Quality Of Service,Major,2020-07-04 16:47:37,Indeterminate,0,EXCESSIVE TCH INTERFERENCE,PLMN-PLMN/BSC-407969/BCF-40/BTS-43/TRX-9,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,00 00 00 64 64 64 64 64 04 50d,,,,false,false,,false,1,94087219,2020-07-04 16:47:49,2020-07-04 16:47:37,,2020-07-04 16:47:37 +05:00,2020-07-04 16:47:37 +05:00,,
42922,7744,Quality Of Service,Major,2020-07-04 16:47:37,Indeterminate,0,EXCESSIVE TCH INTERFERENCE,PLMN-PLMN/BSC-407969/BCF-40/BTS-43/TRX-10,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,64 64 64 64 64 64 64 64 04 50d,,,,false,false,,false,1,94087220,2020-07-04 16:47:49,2020-07-04 16:47:37,,2020-07-04 16:47:37 +05:00,2020-07-04 16:47:37 +05:00,,
42921,7744,Quality Of Service,Major,2020-07-04 16:47:37,Indeterminate,0,EXCESSIVE TCH INTERFERENCE,PLMN-PLMN/BSC-407969/BCF-40/BTS-43/TRX-11,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,64 64 64 64 64 64 64 64 04 50d,,,,false,false,,false,1,94087222,2020-07-04 16:47:49,2020-07-04 16:47:37,,2020-07-04 16:47:37 +05:00,2020-07-04 16:47:37 +05:00,,
9464fc5e924ea66b9150b84c71245f121067bcc2,7103,Environmental,Major,2020-07-04 17:11:14,Indeterminate,0,5. Module fail,PLMN-PLMN/MRBTS-12528/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-6,MRBTS,false,,,false,,,TS2528S_S1,,TS2528,null,,,1404 path=/SMOD_R-1/EAC_R-6 additionalFaultID=1404 EAC_IN-5,affected_cells=none,5. Module fail,,,,false,false,,false,1,94090774,2020-07-04 17:11:35,2020-07-04 17:11:14,,2020-07-04 17:11:14 +05:00,2020-07-04 17:11:14 +05:00,,
5bbea4192cf18ddc371dbd07dd21875cdbe4d01d,7103,Environmental,Critical,2020-07-04 17:15:01,Indeterminate,0,1. No phase,PLMN-PLMN/MRBTS-11407/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-7,MRBTS,false,,,false,,,TS1407S_(1)_S1,,TS1407,null,,,1400 path=/SMOD_R-1/EAC_R-7 additionalFaultID=1400 EAC_IN-1,affected_cells=none,1. No phase,,,,false,false,,false,1,94091183,2020-07-04 17:15:02,2020-07-04 17:15:01,,2020-07-04 17:15:01 +05:00,2020-07-04 17:15:01 +05:00,,
9255,9255,Processing,Minor,2020-07-04 17:54:03,Indeterminate,0,Alarm Database upload Failure.,PLMN-PLMN/MRBTS-11095,MRBTS,false,,,false,,,TS1095S_(1)_VIP_S1,,TS1095,null,,,,58094,:,,,,false,false,,false,1,94096763,2020-07-04 17:54:03,2020-07-04 17:54:03,,2020-07-04 17:54:03 +05:00,2020-07-04 17:54:03 +05:00,,
1768360,7651,Equipment,Major,2020-07-04 18:20:02,Indeterminate,0,BASE STATION OPERATION DEGRADED,PLMN-PLMN/RNC-11/WBTS-5327,WBTS,false,,,false,,,TS2327U_S1,,TS2327,null,,,64 1 64 1816FSMD 1 64,,BTS reference clock missing,,,,false,false,,false,1,94100798,2020-07-04 18:20:17,2020-07-04 18:20:02,,2020-07-04 18:20:02 +05:00,2020-07-04 18:20:02 +05:00,,
46322,7405,Environmental,Major,2020-07-04 18:33:14,Indeterminate,0,MODULE FAIL,PLMN-PLMN/BSC-407977/BCF-340,BCF,false,,,false,,,TS1435GD_(1)_VIP_FG_ASC_SRFLM_S0,,TS1435,null,,,FF FF FF FF FF FF,EXTERNAL AL 5,,,,,false,false,,false,1,94102642,2020-07-04 18:33:26,2020-07-04 18:33:14,,2020-07-04 18:33:14 +05:00,2020-07-04 18:33:14 +05:00,,
cf763ce73bddfe57e53b672c9863c91287ae2ba5,7103,Environmental,Major,2020-07-04 18:46:36,Indeterminate,0,5. Module fail,PLMN-PLMN/MRBTS-12027/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-8,MRBTS,false,,,false,,,TS2027S_S1,,TS2027,null,,,1404 path=/SMOD_R-1(Left)/EAC_R-8 additionalFaultID=1404 EAC_IN-5,affected_cells=none,5. Module fail,,,,false,false,,false,1,94104510,2020-07-04 18:46:43,2020-07-04 18:46:36,,2020-07-04 18:46:36 +05:00,2020-07-04 18:46:36 +05:00,,
61963,7608,Equipment,Minor,2020-07-04 18:48:52,Indeterminate,0,TRX NOTIFICATION,PLMN-PLMN/BSC-407968/BCF-70/BTS-71/TRX-4,TRX,false,,,false,,,,,,null,,,00 00 00 B5 02 02,EXxx TRX module unable to read internal temperature sensors,00 00 00 B5 02 02,,,,false,false,,false,1,94104852,2020-07-04 18:49:01,2020-07-04 18:48:52,,2020-07-04 18:48:52 +05:00,2020-07-04 18:48:52 +05:00,,
61962,7608,Equipment,Minor,2020-07-04 18:48:52,Indeterminate,0,TRX NOTIFICATION,PLMN-PLMN/BSC-407968/BCF-70/BTS-71/TRX-3,TRX,false,,,false,,,,,,null,,,00 00 00 B5 02 01,EXxx TRX module unable to read internal temperature sensors,00 00 00 B5 02 01,,,,false,false,,false,1,94104853,2020-07-04 18:49:01,2020-07-04 18:48:52,,2020-07-04 18:48:52 +05:00,2020-07-04 18:48:52 +05:00,,
154e0f6f966449c1f3422a0886b7c3459a211923,7115,Quality Of Service,Minor,2020-07-04 18:50:40,Indeterminate,0,BASE STATION INFORMATION,PLMN-PLMN/MRBTS-10007/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1,MRBTS,false,,,false,,,TS0007S_(22)_ASR_MUX_S0,,TS0007,null,,,6450 unitName=ASIA AirScale Common path=/SMOD_R-1(Left) serial_no=L1185105770 additionalFaultID=6450 SMOD-1,,Diagnostic Files collected,,,,false,false,,false,1,94105062,2020-07-04 18:50:44,2020-07-04 18:50:40,,2020-07-04 18:50:40 +05:00,2020-07-04 18:50:40 +05:00,,
1768657,61084,Communication,Major,2020-07-04 20:56:00,Indeterminate,0,TWAMP session down for reason: PLR threshold exceeded,PLMN-PLMN/RNC-11/WBTS-4334/FTM-1/IPNO-1/TWAMP-6,FTM,false,,,false,,,,,,null,,,,,0d IPNO-1/TWAMP-6 61084,,,,false,false,,false,1,94124353,2020-07-04 20:56:16,2020-07-04 20:56:00,,2020-07-04 20:56:00 +05:00,2020-07-04 20:56:00 +05:00,,
48983,7601,Equipment,Major,2020-07-04 21:54:03,Indeterminate,0,BCF OPERATION DEGRADED,PLMN-PLMN/BSC-407977/BCF-250,BCF,false,,,false,,,SR2048GD_VIP_S0,,SR2048,null,,,6A 61 02 69 00 00,Difference between PCM and BTS frequency reference,6A 61 02 69 00 00,,,,false,false,,false,1,94133395,2020-07-04 21:54:20,2020-07-04 21:54:03,,2020-07-04 21:54:03 +05:00,2020-07-04 21:54:03 +05:00,,
ef38d2466c053807750bdf945938e9ded3b2908f,7103,Environmental,Major,2020-07-04 19:35:18,Indeterminate,0,5. Module fail,PLMN-PLMN/MRBTS-32039/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-1,MRBTS,false,,,false,,,FR2039S,,,null,,,1404 path=/SMOD_R-1/EAC_R-1 additionalFaultID=1404 EAC_IN-5,affected_cells=none,5. Module fail,,,,false,false,,false,1,94145563,2020-07-04 23:13:07,2020-07-04 19:35:18,,2020-07-04 19:35:18 +05:00,2020-07-04 19:35:18 +05:00,,
0729012e3202221d97bd67388d6aefdb3924f22e,8502,Communication,Minor,2020-07-04 23:38:12,Indeterminate,0,No connection to BTS,PLMN-PLMN/MRBTS-31058,MRBTS,false,,,false,,,FR1058S,,,null,,,,,No connection to BTS,,,,false,false,,false,1,94148466,2020-07-04 23:38:12,2020-07-04 23:38:12,,2020-07-04 23:38:12 +05:00,2020-07-04 23:38:12 +05:00,,
73ee89423dbd96961ef135bab238b45d8fcde65d,8502,Communication,Minor,2020-07-04 23:38:12,Indeterminate,0,No connection to BTS,PLMN-PLMN/MRBTS-42550,MRBTS,false,,,false,,,NM2550S,,,null,,,,,No connection to BTS,,,,false,false,,false,1,94148467,2020-07-04 23:38:12,2020-07-04 23:38:12,,2020-07-04 23:38:12 +05:00,2020-07-04 23:38:12 +05:00,,
13a2719b3fc8105a5fc81923b22b809d905f11ca,8502,Communication,Minor,2020-07-04 23:38:12,Indeterminate,0,No connection to BTS,PLMN-PLMN/MRBTS-31114,MRBTS,false,,,false,,,FR1114S,,,null,,,,,No connection to BTS,,,,false,false,,false,1,94148469,2020-07-04 23:38:12,2020-07-04 23:38:12,,2020-07-04 23:38:12 +05:00,2020-07-04 23:38:12 +05:00,,
4449047,9047,Communication,Critical,2020-07-04 23:38:27,Loss Of Signal,8,NE3SWS AGENT NOT RESPONDING TO REQUESTS,PLMN-PLMN/MRBTS-31114,MRBTS,false,,,false,,,FR1114S,,,null,,,,,Operation timed out [URL:http://mrbts-31114.r04.netact.ucell.uz:8080/NE3S/1.0/],,,,true,false,,false,135,94148497,2020-07-04 23:38:27,2020-07-06 09:08:28,,2020-07-06 09:08:28 +05:00,2020-07-06 09:08:28 +05:00,,
4449047,9047,Communication,Critical,2020-07-04 23:41:18,Loss Of Signal,8,NE3SWS AGENT NOT RESPONDING TO REQUESTS,PLMN-PLMN/MRBTS-31058,MRBTS,false,,,false,,,FR1058S,,,null,,,,,Operation timed out [URL:http://mrbts-31058.r04.netact.ucell.uz:8080/NE3S/1.0/],,,,true,false,,false,135,94148812,2020-07-04 23:41:18,2020-07-06 09:11:18,,2020-07-06 09:11:18 +05:00,2020-07-06 09:11:18 +05:00,,
