Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time
7bb3ada2fb20827f96ad7ba72859509181236cd4,7115,Quality Of Service,Minor,2020-07-03 16:29:49,Indeterminate,0,BASE STATION INFORMATION,PLMN-PLMN/MRBTS-11301/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1,MRBTS,false,,,false,,,TS1301S_(1)_S0,,TS1301,null,,,4405 path=/SMOD_R-1 serial_no=NK161460206 additionalFaultID=4405 SMOD-1,,No usable time reference available,,,,false,false,,false,1,93877547,2020-07-03 16:46:16,2020-07-03 16:29:49,,2020-07-03 16:29:49 +05:00,2020-07-03 16:29:49 +05:00,,
c4164b23bf69994d6a3c655fa1bc78ea3754bbba,7103,Environmental,Major,2020-07-03 16:46:18,Indeterminate,0,4. Temp High,PLMN-PLMN/MRBTS-11711/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-12,MRBTS,false,,,false,,,TS1711S_S1,,,null,,,1403 path=/SMOD_R-1/EAC_R-12 additionalFaultID=1403 EAC_IN-4,affected_cells=none,4. Temp High,,,,false,false,,false,1,93877576,2020-07-03 16:46:24,2020-07-03 16:46:18,,2020-07-03 16:46:18 +05:00,2020-07-03 16:46:18 +05:00,,
28009,7772,Quality Of Service,Major,2020-07-03 16:47:28,Indeterminate,0,HSDPA CONFIGURATION FAILED,PLMN-PLMN/RNC-9/WBTS-14042/WCEL-5,WCEL,false,,,false,,,SR1042U22,,,null,,,02 ICSU 3d 03 03 0d 01,,WBTS rejects the configuration,,,,false,false,,false,1,93877736,2020-07-03 16:47:36,2020-07-03 16:47:28,,2020-07-03 16:47:28 +05:00,2020-07-03 16:47:28 +05:00,,
31942,7744,Quality Of Service,Major,2020-07-03 16:50:07,Indeterminate,0,EXCESSIVE TCH INTERFERENCE,PLMN-PLMN/BSC-402057/BCF-287/BTS-1108/TRX-9,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,,2C 2E 2A 31 23 30 2E 34 04 50d,,,,false,false,,false,1,93878342,2020-07-03 16:50:20,2020-07-03 16:50:07,,2020-07-03 16:50:07 +05:00,2020-07-03 16:50:07 +05:00,,
645808,69003,Quality Of Service,Minor,2020-07-03 16:50:29,Alarm Indication Signal,1,"TCH Traffic >0, PS traffic =0",PLMN-PLMN/BSC-402055/BCF-158/BTS-803,BTS,false,,,false,,,TS2200G11,,,null,,,,,"PLMN/BSC/BCF/BTS;[{""severity"":""MINOR"",""formula"":""${trf_492b}>0.1  and (${trf_213c}+ ${trf_213c}+ ${trf_214a}+ ${trf_215a})=0""}];[{""name"":""trf_213c"",""value"":""0"",""updateTimestamp"":""Jul 3, 2020 3:00:00 PM""},{""name"":""trf_492b"",""value"":""0.16"",""updateTimestamp"":""Jul 3, 2020 3:00:00 PM""},{""name"":""trf_214a"",""value"":""0"",""updateTimestamp"":""Jul 3, 2020 3:00:00 PM""},{""name"":""trf_215a"",""value"":""0"",""updateTimestamp"":""Jul 3, 2020 3:00:00 PM""}];[{""coName"":{""BTS"":""TS2200G11"",""BSC"":""BSTSN07"",""BCF"":""TS2200GD_S1""}}]",,,,false,false,,false,1,93878367,2020-07-03 16:50:29,2020-07-03 16:50:29,,2020-07-03 16:50:29 +05:00,2020-07-03 16:50:29 +05:00,,
e9d31ea2cefc927fa5eab186c4bf1601a8290fc1,7116,Quality Of Service,Major,2020-07-03 16:51:49,Indeterminate,0,BASE STATION SERVICE PROBLEM,PLMN-PLMN/MRBTS-42101/EQM_R-1/APEQM_R-1/RMOD_R-4,MRBTS,false,,,false,,,NM2101S_(2)_FG_S1,,NM2101,null,,,1927 path=/SMOD_R-1/rf_ext2/RMOD_R-4 serial_no=EA170410847 additionalFaultID=1927 RMOD-2,degraded_cells=GSM:1137;LTE:23,RF Power decreased,,,,false,false,,false,1,93878600,2020-07-03 16:51:50,2020-07-03 16:51:49,,2020-07-03 16:51:49 +05:00,2020-07-03 16:51:49 +05:00,,
42887,7607,Communication,Major,2020-07-03 16:51:51,Indeterminate,0,TRX OPERATION DEGRADED,PLMN-PLMN/BSC-407978/BCF-1130/BTS-1137/TRX-29,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,"SBTS TRX object degraded, see details from NetAct FM",FF FF FF FF FF FF shared:S,,,,false,false,,false,1,93878601,2020-07-03 16:51:52,2020-07-03 16:51:51,,2020-07-03 16:51:51 +05:00,2020-07-03 16:51:51 +05:00,,
42888,7607,Communication,Major,2020-07-03 16:51:51,Indeterminate,0,TRX OPERATION DEGRADED,PLMN-PLMN/BSC-407978/BCF-1130/BTS-1137/TRX-30,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,"SBTS TRX object degraded, see details from NetAct FM",FF FF FF FF FF FF shared:S,,,,false,false,,false,1,93878602,2020-07-03 16:51:52,2020-07-03 16:51:51,,2020-07-03 16:51:51 +05:00,2020-07-03 16:51:51 +05:00,,
42889,7607,Communication,Major,2020-07-03 16:51:51,Indeterminate,0,TRX OPERATION DEGRADED,PLMN-PLMN/BSC-407978/BCF-1130/BTS-1137/TRX-28,TRX,false,,,false,,,,,,null,,,FF FF FF FF FF FF,"SBTS TRX object degraded, see details from NetAct FM",FF FF FF FF FF FF shared:S,,,,false,false,,false,1,93878606,2020-07-03 16:51:52,2020-07-03 16:51:51,,2020-07-03 16:51:51 +05:00,2020-07-03 16:51:51 +05:00,,
1767172,7786,Quality Of Service,Major,2020-07-03 16:53:06,Indeterminate,0,WCDMA BASE STATION OUT OF USE,PLMN-PLMN/RNC-11/WBTS-5355,WBTS,false,,,false,,,TS2355U_S2,,TS2355,null,,,,,,,,,false,false,,false,1,93878993,2020-07-03 16:53:42,2020-07-03 16:53:06,,2020-07-03 16:53:06 +05:00,2020-07-03 16:53:06 +05:00,,
67a8be744d61d3a5557a9908be6ab01af79dd4de,7103,Environmental,Major,2020-07-03 16:50:25,Indeterminate,0,5. Module fail,PLMN-PLMN/MRBTS-12528/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-7,MRBTS,false,,,false,,,TS2528S_S1,,TS2528,null,,,1404 path=/SMOD_R-1/EAC_R-7 additionalFaultID=1404 EAC_IN-5,affected_cells=none,5. Module fail,,,,false,false,,false,1,93878999,2020-07-03 16:53:45,2020-07-03 16:50:25,,2020-07-03 16:50:25 +05:00,2020-07-03 16:50:25 +05:00,,
42238,7767,Quality Of Service,Critical,2020-07-03 16:53:56,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-611,BTS,false,,,false,,,TS2355G11,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879054,2020-07-03 16:53:57,2020-07-03 16:53:56,,2020-07-03 16:53:56 +05:00,2020-07-03 16:53:56 +05:00,,
42239,7767,Quality Of Service,Critical,2020-07-03 16:53:57,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-612,BTS,false,,,false,,,TS2355G12,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879056,2020-07-03 16:53:57,2020-07-03 16:53:57,,2020-07-03 16:53:57 +05:00,2020-07-03 16:53:57 +05:00,,
42240,7767,Quality Of Service,Critical,2020-07-03 16:53:57,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-613,BTS,false,,,false,,,TS2355G13,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879057,2020-07-03 16:53:58,2020-07-03 16:53:57,,2020-07-03 16:53:57 +05:00,2020-07-03 16:53:57 +05:00,,
42241,7767,Quality Of Service,Critical,2020-07-03 16:53:58,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-615,BTS,false,,,false,,,TS2355D11,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879061,2020-07-03 16:53:59,2020-07-03 16:53:58,,2020-07-03 16:53:58 +05:00,2020-07-03 16:53:58 +05:00,,
40267,7608,Processing,Minor,2020-07-03 16:53:52,Indeterminate,0,TRX NOTIFICATION,PLMN-PLMN/BSC-402054/BCF-141/BTS-804/TRX-10,TRX,false,,,false,,,,,,null,,,02 00 00 82 00 00,Rx Uplink path not working in System Module,02 00 00 82 00 00,,,,false,false,,false,1,93879076,2020-07-03 16:54:01,2020-07-03 16:53:52,,2020-07-03 16:53:52 +05:00,2020-07-03 16:53:52 +05:00,,
42246,7767,Quality Of Service,Critical,2020-07-03 16:54:00,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-617,BTS,false,,,false,,,TS2355D13,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879093,2020-07-03 16:54:04,2020-07-03 16:54:00,,2020-07-03 16:54:00 +05:00,2020-07-03 16:54:00 +05:00,,
42245,7767,Quality Of Service,Critical,2020-07-03 16:54:00,Indeterminate,0,BCCH MISSING,PLMN-PLMN/BSC-407969/BCF-610/BTS-616,BTS,false,,,false,,,TS2355D12,,,null,,,FF FF FF FF FF FF,,,,,,false,false,,false,1,93879094,2020-07-03 16:54:04,2020-07-03 16:54:00,,2020-07-03 16:54:00 +05:00,2020-07-03 16:54:00 +05:00,,
fff8bbd5c520eefe4e93344d8e4bee869ec4d24c,7103,Environmental,Minor,2020-07-03 16:54:12,Indeterminate,0,3. Battery low,PLMN-PLMN/MRBTS-11104/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-2,MRBTS,false,,,false,,,TS1104S_(1)_S1,,TS1104,null,,,1402 path=/SMOD_R-1(Left)/EAC_R-2 additionalFaultID=1402 EAC_IN-3,affected_cells=none,3. Battery low,,,,false,false,,false,1,93879148,2020-07-03 16:54:15,2020-07-03 16:54:12,,2020-07-03 16:54:12 +05:00,2020-07-03 16:54:12 +05:00,,
